,상호,계,업종,주소,거리
448,황제능이해신탕,3,일반음식점,"경기 성남시 수정구 오야남로 3, 2층 (오야동)",
449,홍루이젠 분당정자점,3,휴게음식점,"경기 성남시 분당구 느티로 27, 103-1호 (정자동,하나프라자)",
450,헬로피쉬,3,일식전문점,"경기 성남시 분당구 대왕판교로606번길 45, 1층 109호 (삼평동,판교역푸르지오시티)",
451,헬로오드리(HelloAudre,3,일반음식점,경기 성남시 분당구 석운로202번길 12 (석운동),
452,함관령,3,한식,"경기 성남시 분당구 산운로32번길 14, 1층(운중동)",
453,한소헌,3,일반음식점,"경기 성남시 분당구 성남대로331번길 3-3, 2층 206호 (정자동,젤존타워III)",
454,프로스넥,3,일반음식점,"경기 성남시 분당구 성남대로331번길 13, 806호 일부 (정자동)",
455,푸드홀,3,일반음식점,"경기 성남시 분당구 구미로173번길 82, 신관 지하1층 일부 (구미동,분당서울대병원)",
456,평양면옥,3,일반음식점,"경기 성남시 분당구 안골로 27,1층(서현동,서현동)",
457,판쓰리솥뚜껑생김치삼겹살,3,일반음식점,"경기 성남시 분당구 내정로7번길 6-2, 1층 (정자동)",
458,판 (PAN),3,서양식전문점,"경기 성남시 분당구 판교로289번길 20, 1층 일부 (삼평동,판교테크노밸리스타트업캠퍼스)",
459,파파존스판교점,3,패스트푸드점,"경기 성남시 분당구 서판교로154, 2층 204호 (판교동,낙생빌딩) ",
460,파파존스 판교점,3,패스트푸드점,"경기 성남시 분당구 서판교로 154, 204호 (판교동,낙생빌딩)",
461,통통곱창,3,한식,"경기 성남시 분당구 대왕판교로606번길 45, 1층 102호 (삼평동,판교역푸르지오시티)",
462,타이거슈가판교점(주)슈거마틴,3,일반음식점,"경기 성남시 분당구 판교역로231, S동 1층 108호 (삼평동,에이치스퀘어 ",
463,콩뿌리,3,일반음식점,"경기 성남시 분당구 운중로 132, 1층 108호,109호 (운중동,큐브타워)",
464,콘비노,3,서양식전문점,"경기 성남시 분당구 돌마로522번길 10-1, 1층 (서현동)",
465,카츄마마,3,일반음식점,"경기 성남시 분당구 정자일로 136, C동1층113,114호 (정자동,정자 엠코헤리츠3단지)",
466,치킨마루판교테크노밸리점,3,일반한식,경기 성남시 분당구 삼평동 681  에이치스퀘어 엔동 101호 102호,
467,최가돈까스,3,한식,"경기 성남시 분당구 정자일로 210, 상가 지하1층 104호 (정자동,동양정자파라곤)",
468,천지연판교점,3,일반음식점,"경기 성남시 분당구 판교로 185,1층(판교동)",
469,진미복집,3,기타음식점,경기 성남시 분당구 효자길 21 (서현동),
470,진궁운중점,3,중국식,"경기 성남시 분당구 운중로125번길 3, 1층 (운중동)",
471,주식회사지오쿠치나,3,양식,"경기 성남시 분당구 황새울로200번길 34, 1층 101호 (수내동,코포모빌딩)",
472,주식회사뚝심분당점,3,한식,"경기 성남시 분당구 대왕판교로 102, 금곡동",
473,종로떡방,3,기타식음료품,"경기 성남시 분당구 돌마로86, 2동 105호 (구미동,엘레강스프라자) ",
474,조선화로집(분당서현점),3,한식,"경기 성남시 분당구 서현로 170-0,3층 (서현동) ",
475,전지방순대국,3,일반음식점,"경기 성남시 분당구 야탑로105번길 13, 1층 (야탑동)",
476,전국5대짬뽕(연화산),3,중식전문점,"경기 성남시 분당구 서판교로58번길14, 1층 전부 (판교동) ",
477,장원,3,일반음식점,"경기 성남시 수정구 공원로 322, 상가동 201호 (신흥동,신동아파라디움)",
478,인디테이블,3,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 1층 109호 (삼평동,판교호반써밋플레이스)",
479,이삭토스트미금점,3,패스트푸드점,경기 성남시 분당구 금곡동 153썬플라자106,
480,윤밀원,3,일반음식점,"경기 성남시 분당구 불곡남로13번길 3, 1층 (정자동)",
481,육첩반상,3,일반음식점,"경기 성남시 분당구 성남대로 151, 2층 211-1호 (구미동,분당엠코헤리츠)",
482,육대장,3,일반음식점,경기 성남시 분당구 판교동 511-6번지 1층 일부,
483,워터화이트,3,일반음식점,"경기 성남시 분당구 판교역로 230, B동 1층 116호 (삼평동,삼환하이펙스)",
484,오너쉐프,3,서양식전문점,"경기 성남시 분당구 대왕판교로 670, B111호 유스페이스2지1층, (삼평동)",
485,영풍치킨분당점,3,패스트푸드,"경기 성남시 분당구 성남대로916번길 5, 201호 (야탑동, 관보골든스포츠)",
486,여수동안채,3,일반음식점,"경기 성남시 중원구 성남대로997번길 27-17, 지하1층 (여수동)",
487,아웃백서현점,3,서양식전문점,경기 성남시 분당구 서현로192 (서현동) ,
488,씨제이올리브네트웍스(주)판교유스페이스점,3,일반잡화판매점,"경기 성남시 분당구 대왕판교로 660, (삼평동)",
489,써브웨이 성남터미널점,3,패스트푸드점,"경기 성남시 분당구 성남대로925번길 16, 1층 112호 일부 (야탑동,분당종합터미널)",
490,신황산벌,3,일반음식점,"경기 성남시 수정구 달래내로40, 지층 (금토동) ",
491,신사스테이크,3,양식,"경기 성남시 분당구 판교역로 230, B동 124호 (삼평동,삼환하이펙스)",
492,시즌,3,양식,"경기 성남시 분당구 판교역로192번길 16, 1층 105호 (삼평동,판교타워)",
493,스시앤스시,3,일식/생선회집,"경기 성남시 분당구 백현로101번길 11, (수내동)",
494,수 숯불직화꼬치구이,3,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 124호 (삼평동,유스페이스1)",
495,송화양꼬치,3,중식전문점,경기 성남시 분당구 장미로100번길 15-11 (야탑동),
496,삼성분식,3,일반음식점 기타,"경기 성남시 분당구 양현로 220, 102(이매동,상가비동)",
497,삼다옥 1947,3,일반음식점,"경기 성남시 분당구 황새울로258번길 28, 1층 (수내동,한산이씨좌랑공파종중사옥)",
498,뿅의전설 야탑점,3,중식전문점,"경기 성남시 분당구 야탑로139번길 2, (지상1층전부,지하1층 일부) (야탑동)",
499,비어웍스정자역점,3,일반주점,"경기 성남시 분당구 정자일로 162, 1층 108호 (정자동, 젤존타워2)",
500,블루밍가든 아브뉴프랑 판교점,3,양식,"경기 성남시 분당구 분당내곡로 150, (삼평동,1층)",
501,분당양자강,3,중식전문점,"경기 성남시 분당구 탄천상로 164, 지하1층 비 1-4호 (구미동,시그마2오피스텔)",
502,부자뿅의전설,3,중식전문점,"경기 성남시 수정구 복정로 105, 1층 (복정동)",
503,부경정,3,일반음식점,"경기 성남시 분당구 금곡로7번길 14 (구미동,,1층))",
504,봉피양(분당),3,일반음식점,"경기 성남시 분당구 정자일로 121, 1층 디-9,10,11호, (정자동)",
505,봄베이브로이(Bombay B,3,일반음식점,"경기 성남시 분당구 판교역로2번길 25, 1층 (백현동)",
506,반포식스판교역점,3,일반음식점 기타,"경기 성남시 분당구 판교역로192번길 12, 삼평동,판교미래에셋센터2층일부",
507,바른스시동판교점,3,일식전문점,"경기 성남시 분당구 판교역로2번길 6, 1층 전부 (백현동,태훈빌딩)",
508,바르다김선생 판교점,3,일반음식점,"경기 성남시 분당구 대왕판교로606번길 58, 1층 1-76호 (삼평동,판교푸르지오월드마크)",
509,모노끼,3,일반음식점,"경기 성남시 분당구 야탑로69번길 24-6, 1층 104호 (야탑동,두만프라자)",
510,메콩타이서현점,3,일반음식점기타,"경기 성남시 분당구 황새울로 325-0,204호 (서현동,서현하우비) ",
511,맥도날드서판교DT점,3,패스트푸드점,경기 성남시 분당구 운중동 1017번지,
512,매일식당,3,한식,"경기 성남시 분당구 판교역로192번길 14, 2 (삼평동)",
513,리젠시,3,호텔(특급외),"경기 성남시 분당구 황새울로 352 (서현동,호텔리젠시)",
514,리얼빈,3,일반음식점,"경기 성남시 분당구 판교역로 240, 지하1층, B111호 (삼평동,삼환하이펙스A동)",
515,로맨스꼬꼬,3,한식,"경기 성남시 분당구 대왕판교로 660, (삼평동,유스페이스1지하1층113호)",
516,람바다,3,일반음식점,"경기 성남시 분당구 판교역로184, 2층 202호 (삼평동,JS타워) ",
517,디스틸러,3,일반음식점,"경기 성남시 분당구 정자일로135, D동 211호 (정자동,정자동3차푸르지 ",
518,둥글집,3,한식,"경기 성남시 분당구 성남대로144번길 12, (구미동,1층)",
519,더카페에일리언아지트,3,양식,"경기 성남시 수정구 달래내로 219-0,1층 (금토동) ",
520,더블유넛,3,일반음식점,"경기 성남시 분당구 정자일로 55, (분당두산위브1층109-105호) (금곡동)",
521,달팽이김밥,3,일반음식점,"경기 성남시 분당구 판교역로192번길 14-2, 1층 일부112-1호 (삼평동,골드타워)",
522,느린마을양조장판교점,3,한식,"경기 성남시 분당구 대왕판교로606번길 39, 지하1층 (삼평동,럭스타워)",
523,느린마을양조장테크노점,3,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 217,218,219호 (삼평동,유스페이스1)",
524,김선생수내역점,3,일반음식점,"경기 성남시 분당구 백현로101번길 17,1층117호(수내동,초림프라자)",
525,긴자판교점,3,일식/생선회집,"경기 성남시 분당구 판교로 185, 3층 (판교동)",
526,그집,3,일반음식점,"경기 성남시 분당구 황새울로 337,(서현동,웰빙프라자1층109,110호)",
527,그릴스테이션,3,일반음식점,"경기 성남시 분당구 대왕판교로606번길 45,1층112호(삼평동,푸르지오시티)",
528,교대이층집(야탑점),3,일반음식점,"경기 성남시 분당구 야탑로105번길15, 1층 (야탑동) ",
529,광주옥,3,한식,"경기 성남시 분당구 구미동 189-1번지 성우스타우스132,134,135호",
530,광명면옥,3,일반음식점,"경기 성남시 분당구 대왕판교로 306, 1층 (궁내동)",
531,고엔스시,3,일식전문점,"경기 성남시 분당구 성남대로2번길 6, 104호 (구미동,LG오피스텔)",
532,갈비명가수원성,3,한식,"경기 성남시 분당구 새마을로1번길 7, 1층 (서현동)",
533,BKR버거킹분당야탑점,3,패스트푸드점,"경기 성남시 분당구 성남대로916번길 11,1층(야탑동,글라스타워)",
534,(주)토다이분당점,3,패밀리레스토랑,"경기 성남시 분당구 정자일로 121, 더샵스타파크제상가동지하 (정자동)",
535,(주)제누인더집밥,3,일반음식점,"경기 성남시 분당구 판교역로240, 지하1층 103호 (삼평동,삼환하이펙스 ",
536,(주)여기풍천민물장어,3,일반음식점,"경기 성남시 분당구 대왕판교로 266, 1층 (궁내동)",
537,(주)썬앳푸드시추안하우스판교점,3,중식전문점,"경기 성남시 분당구 판교역로152, 2층 일부호 (백현동,알파돔타워) ",
538,(주)너와집백현점,3,일반음식점,"경기 성남시 분당구 안양판교로1201번길45, 지상1층 (백현동) ",
539,(주)내추럴푸드,3,일반음식점,"경기 성남시 분당구 대왕판교로660, B동 127호 (삼평동,유스페이스1) ",
540,화포식당야탑점,2,일반음식점,"경기 성남시 분당구 야탑로111번길 14, 1층 (야탑동)",
541,홍콩,2,중식,경기 성남시 중원구 성남동 4-73,
542,해심가든,2,일반음식점,"경기 성남시 수정구 대왕판교로 844, 1층 (시흥동)",
543,한우명가정육식당,2,일반음식점,"경기 성남시 분당구 야탑로69번길 18, 104호 (야탑동,동아프라자)",
544,하이스키,2,일반음식점,"경기 성남시 분당구 판교역로 240, 1층 118호 (삼평동,삼환하이펙스A동)",
545,하겐다즈,2,아이스크림전문점,"경기 성남시 분당구 분당내곡로 117, 1층 101-3호 (백현동)",
546,프레스코,2,일반음식점,"경기 성남시 중원구 산성대로364번길 2,,1-2층(중앙동)",
547,포포(PoPo),2,단란주점,"경기 성남시 분당구 대왕판교로606번길 45, 207호 (삼평동,판교역푸르지오)",
548,털보네,2,일반음식점,"경기 성남시 수정구 대왕판교로 773, 1층 (금토동)",
549,탄천한우,2,일반음식점,"경기 성남시 수정구 탄천로 594, 1층 (태평동)",
550,클로이 (CHLOE),2,일반음식점 기타,"경기 성남시 분당구 대왕판교로606번길 45, 3층 302호 (삼평동,판교역푸르지오시티)",
551,쿠우쿠우분당점,2,일식전문점,"경기 성남시 분당구 성남대로912, 2층 (야탑동,분당BYC빌딩) ",
552,코코로벤또퍼스트타워점,2,일반음식점,"경기 성남시 분당구 분당로 55, 2층 일부 (서현동,분당퍼스트타워)",
553,취홍,2,중식전문점,"경기 성남시 분당구 안골로 24, 4층 (서현동)",
554,취영루,2,중식전문점,"경기 성남시 분당구 양현로 164,5층(이매동,성남상공회의소)",
555,축산삼다가,2,일반음식점,"경기 성남시 분당구 대왕판교로 288, 1층 (궁내동,예스빌딩)",
556,최고집함흥냉면,2,한식,경기 성남시 분당구 야탑동 375-15 1층,
557,초밥앤탕,2,일반음식점,"경기 성남시 분당구 동판교로 226, 제비상가동104호,봇들마을4단지아파트 (삼평동)",
558,초루,2,일식전문점,"경기 성남시 분당구 서판교로44번길 3-19, 1층 일부 (판교동)",
559,진수사,2,일식/생선회집,"경기 성남시 분당구 매화로37번길 7-10, 1층 (야탑동)",
560,지리산산삼닭백숙,2,일반음식점,"경기 성남시 수정구 심곡로 6, 1층 (심곡동)",
561,㈜에스피씨삼립그릭슈바인판교알파,2,서양식전문점,"경기 성남시 분당구 대왕판교로606번길10, 알파리움 타워1동 1층 124호 ",
562,주식회사이가네양꼬치,2,중식,"경기 성남시 분당구 분당내곡로 155, B동 104호 (삼평동)",
563,주식회사송추가마골판교지점,2,한식,"경기 성남시 분당구 판교역로 145, 2동 2층 225호 (백현동,타워)",
564,주식회사내추럴푸드,2,한식,"경기 성남시 분당구 대왕판교로 660-0,B동 127호 (삼평동,유스페이스1) ",
565,주식회사 오또꼬,2,한식,"경기 성남시 분당구 느티로 16, 1층 119호,120호 (정자동,젤존타워1)",
566,㈜ 에스피씨 삼립 그릭슈바인 판교알파돔점,2,서양식전문점,"경기 성남시 분당구 대왕판교로606번길 10, 알파리움 타워1동 1층 124호,125호,126호,127호 (백현동)",
567,죠스떡볶이,2,일반음식점,"경기 성남시 분당구 판교로 376, 1층 102호 (삼평동,마크시티 퍼플)",
568,조이포,2,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층,127호 (삼평동,유스페이스1)",
569,정통춘천닭갈비,2,일반음식점,경기 성남시 분당구 내정로119번길 15 (정자동),
570,정빙고,2,일반음식점,"경기 성남시 분당구 정자일로198번길 22, 1층 (정자동)",
571,전주콩뿌리콩나물국밥,2,일반음식점,"경기 성남시 중원구 성남대로1148번길 11, 1층 (성남동)",
572,전주식당,2,일반음식점,"경기 성남시 분당구 장안로16번길2-1 (분당동,지하1층일부) ",
573,자연별곡오리점,2,뷔페.출장연회,"경기 성남시 분당구 탄천상로151번길 20, 월드쇼핑 애플프러자B동2층201호일부 (구미동)",
574,일편닭심,2,일반음식점,"경기 성남시 분당구 판교역로192번길22, 1층 110호 (삼평동,판교효성해 ",
575,일면식 분당,2,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 2층 221호 (삼평동,판교 호반 써밋 플레이스)",
576,일로집,2,일반음식점,"경기 성남시 분당구 느티로 16, 1층 116호 (정자동,젤존타워1)",
577,이차집,2,일반음식점기타,"경기 성남시 분당구 대왕판교로 660-0,A동 120호 (삼평동,유스페이스1) ",
578,이수사,2,일식전문점,"경기 성남시 분당구 금곡로11번길 4, 1층 (구미동)",
579,이레,2,일식전문점,"경기 성남시 분당구 불정로65번길 1, 1층 (정자동)",
580,이남장,2,일반음식점,"경기 성남시 분당구 느티로63번길 7 (정자동,,1층)",
581,육분당,2,일반음식점,"경기 성남시 분당구 미금일로90번길 32, 1층 116,117,118,119호 (구미동)",
582,유타로,2,일식/생선회집,"경기 성남시 분당구 황새울로335번길 8-0,101호 일부 (서현동,덕산빌딩 ",
583,유니버스,2,일반음식점,"경기 성남시 분당구 판교역로 230, B동 지하1층 126-1호 (삼평동,삼환하이팩스)",
584,월선네,2,일반음식점,"경기 성남시 분당구 정자일로6번길 13, 103-3호 (금곡동,천사의도시3오피스텔)",
585,원할머니보쌈족발분당서현,2,일반음식점,"경기 성남시 분당구 서현로204, 202호 (서현동,엘지에클라트2) ",
586,원복집,2,일반음식점,"경기 성남시 분당구 황새울로258번길 28, 2층 전부 (수내동,한도회관빌딩)",
587,운중농원갈비,2,일반음식점,경기 성남시 분당구 하오개로218번길 15 (운중동),
588,완뽕,2,중식전문점,"경기 성남시 분당구 판교로 499 (야탑동,,지하1층 일부)",
589,와플반트야탑점,2,일반음식점,"경기 성남시 분당구 야탑로81번길10, 1층 102호 (야탑동,분당아미고타 ",
590,올리브그릴,2,서양식전문점,"경기 성남시 분당구 운중로146번길15-3, 1층 (운중동) ",
591,오징어날다,2,일식전문점,"경기 성남시 분당구 운중로267번길 7-9, 1층일부 101호 (판교동)",
592,오징어나라,2,일식전문점,"경기 성남시 분당구 운중로267번길 7-8, 1층 (판교동)",
593,오와스시,2,일식전문점,"경기 성남시 중원구 성남대로997번길 25-7, 1층 102호 (여수동)",
594,오봉자싸롱위례점,2,일반주점,"경기 성남시 수정구 위례서일로3길 11, 지하층 (창곡동)",
595,오끼참치,2,일식전문점,"경기 성남시 분당구 서현로210번길2, 206호일부,207호 (서현동,성지하 ",
596,예돈,2,일반음식점,경기 성남시 분당구 내정로7번길 13 (정자동),
597,영심이정자엠코점,2,일반음식점,"경기 성남시 분당구 정자일로146, 1층 129호 (정자동,정자역엠코헤리츠 ",
598,영덕강구항,2,일식/생선회집,"경기 성남시 분당구 미금일로90번길 32-0,1층 (구미동) ",
599,얼룩도야지,2,한식,"경기 성남시 분당구 대왕판교로606번길 45-0,삼평동,205호 ",
600,어사출또,2,일식/생선회집,"경기 성남시 분당구 돌마로 47, 122호 (금곡동,이코노샤르망)",
601,어구미아비뉴프랑판교점,2,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 판교 호반 써밋 플레이스 2층 212호,213호 (삼평동)",
602,양재식당,2,일반음식점,"경기 성남시 분당구 분당내곡로 151 (삼평동,삼도타워1층103호,104호,105호,106호)",
603,야탑어촌,2,일식전문점,"경기 성남시 분당구 야탑로111번길 5-5, 1층 (야탑동)",
604,야탑맛집바다향왕코다리(주)더탄,2,일반음식점,"경기 성남시 분당구 성남대로858번길 14, 1층 (야탑동)",
605,야미에그(주)마세다린,2,일반음식점,"경기 성남시 분당구 백현로101번길 16, 대덕프라자, ,1층 116호 (수내동)",
606,안동황우촌2호점,2,일반음식점,경기 성남시 분당구 미금일로86번길 17 (구미동),
607,안동국시 청와정,2,일반음식점,경기 성남시 분당구 하오개로 358 (운중동),
608,아웃백스테이크미금점,2,패밀리레스토랑,경기 성남시 분당구 구미동 7-2,
609,아웃백 서현점,2,서양식전문점,경기 성남시 분당구 서현로 192 (서현동),
610,아오리의행방불명 분당점,2,일반음식점 기타,"경기 성남시 분당구 황새울로335번길 5, 2층 204호 (서현동)",
611,아름마을이야기,2,일반음식점,"경기 성남시 분당구 판교로 445, 109호 (야탑동)",
612,씨씨스트릿라운지(주)올바름,2,서양식전문점,"경기 성남시 분당구 판교역로192번길 12, 1층 103호 (삼평동,미래에셋센터)",
613,쏘렐라,2,서양식전문점,경기 성남시 분당구 정자동24 분당인텔리지 2상가 306 ,
614,쏘뇨,2,일반주점,"경기 성남시 분당구 판교로255번길9-22, 137호 (삼평동,우림 W-CITY 1 ",
615,써브웨이정자점,2,일반음식점,"경기 성남시 분당구 성남대로331번길13, 외1필지 109호 (정자동) ",
616,써브웨이성남터미널점,2,패스트푸드점,"경기 성남시 분당구 성남대로925번길16, 1층 112호 일부 (야탑동,분당 ",
617,시진핑,2,중식,"경기 성남시 분당구 중앙공원로 35, 1층 111-B호 (서현동,올림픽 스포츠센터)",
618,시골여행,2,일반음식점,"경기 성남시 분당구 하오개로 366-6, 1층 전부 (운중동)",
619,스시쿤,2,일식전문점,"경기 성남시 분당구 성남대로 381 (정자동,폴라리스빌딩 1층 104호)",
620,스시도모서현점,2,한식,경기 성남시 분당구 서현동 272-1 서현하우비 103호-106호,
621,스시노백쉐프위례우남점,2,일반음식점,"경기 성남시 수정구 위례서일로1길 28, 1층 (창곡동,U-HAUS)",
622,수숯불직화꼬치구이,2,한식,"경기 성남시 분당구 대왕판교로 660-0,1층 124호 (삼평동,유스페이스1) ",
623,수기(ARS)_다날,2,기타PG,"경기 성남시 분당구 분당로 55, 9층 (서현동,분당퍼스트타워)",
624,쇳골영양탕,2,일반음식점,경기 성남시 분당구 쇳골북로32번길 3-4 (금곡동),
625,소호정 아브뉴프랑,2,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 142호,156호 (삼평동,판교호반써밋플레이스)",
626,소풍,2,일반음식점,"경기 성남시 수정구 위례광장로 9-9, 1층 108호 (창곡동,위례우남역퍼스트푸르지오시티)",
627,서울치킨,2,치킨전문점,"경기 성남시 분당구 구미로9번길 1, (구미동,1층102호103호) (구미동)",
628,서울복집,2,일반음식점,"경기 성남시 분당구 정자일로 192, 2층 206호 (정자동,지파크프라자)",
629,서울맥주1977서판교점,2,일반주점,"경기 성남시 분당구 운중로225번길 48-7,지하1층 (판교동) ",
630,삼다옥1947(정자점),2,일반음식점,"경기 성남시 분당구 정자일로 162, 1층 101호 (정자동,젤존타워2)",
631,사잇길,2,일반음식점,"경기 성남시 분당구 판교역로192번길 14-2, 125호,126호 (삼평동,골드타워)",
632,사람사는고깃집김일도,2,일반음식점,"경기 성남시 분당구 야탑로105번길13-1, 1층 (야탑동,율천빌딩) ",
633,빅피쉬,2,일식/생선회집,"경기 성남시 분당구 대왕판교로 660-0,1층 145호 (삼평동,유스페이스1) ",
634,비어팩토리,2,일반주점,"경기 성남시 분당구 운중로125번길 14, 1층 (운중동)",
635,블루핀튜나,2,일식/생선회집,경기 성남시 분당구 수내동 16-5 오너스타워,
636,봉춘옥,2,중식전문점,경기 성남시 분당구 대왕판교로 307 (궁내동),
637,본죽(동판교점),2,일반음식점,"경기 성남시 분당구 판교로 374, 1층 104호 (삼평동,스타식스코아II)",
638,본죽,2,일반음식점,"경기 성남시 분당구 돌마로79, 105호 (금곡동,썬프라자) ",
639,벼락가우리,2,일식전문점,"경기 성남시 중원구 광명로347번길6,1층(금광동) ",
640,벨라로사,2,서양식전문점,경기 성남시 분당구 정자일로198번길 26 (정자동),
641,베이커리리안,2,기타음식점,"경기 성남시 분당구 돌마로476번길 31, 상가동 1층 107호 (서현동,효자촌삼환아파트)",
642,베네쿠치,2,서양식전문점,"경기 성남시 분당구 운중로146번길 19, 1층 전체 (운중동,운천빌딩)",
643,박군자진주냉면,2,일반음식점,"경기 성남시 분당구 대왕판교로 122, 1층 전부 (금곡동)",
644,밀리토피아호텔,2,호텔(특급외),경기 성남시 수정구 위례대로 83 (창곡동),
645,미래식당,2,일반음식점,"경기 성남시 분당구 불정로376번길 31, 604동121~125호 (서현동,효자촌주상복합)",
646,몽짬뽕 서현점,2,중식,"경기 성남시 분당구 서현로180번길 19, 1층 102-1호 (서현동,비전월드)",
647,명품국수,2,일반음식점,"경기 성남시 분당구 판교역로 230, B동 지하층 121, 121-1호 (삼평동,삼환하이펙스)",
648,명인의제자도제판교2호점,2,일식전문점,"경기 성남시 분당구 판교로255번길 9-22, 225호 (삼평동,우림W-CITY 2층)",
649,명랑쌀핫도그이매점,2,일반음식점,"경기 성남시 분당구 판교로 446, 1층 103호 (이매동,.)",
650,메이,2,중식전문점,"경기 성남시 수정구 수정로 81, 2층 203호 (태평동,동인트루빌)",
651,마사키,2,일식전문점,"경기 성남시 분당구 운중로113번길 4-12, 1층 (운중동)",
652,루프일레븐,2,일반주점,"경기 성남시 분당구 판교역로192번길 16, 11층 1101호 (삼평동,판교타워)",
653,레스토랑마고,2,일반음식점 기타,"경기 성남시 분당구 정자일로 230, B103호(정자동,동양파라곤105동)",
654,러스틱자(RUSTICJAR),2,일반음식점,"경기 성남시 분당구 판교역로 230, B동 1층 111호 (삼평동,삼환하이펙스)",
655,랜돌프비어야탑점,2,일반주점,"경기 성남시 분당구 장미로92번길13-1, 지층 1호 (야탑동) ",
656,락앤웍,2,중식전문점,"경기 성남시 분당구 정자일로 121 (정자동,상가동 씨-03,04,16,17호)",
657,라뜰리에,2,기타음식점,"경기 성남시 분당구 판교로 332,ECOHub,1층,(삼평동)",
658,또봉이 통닭 (청계산옛골점),2,치킨전문점,"경기 성남시 수정구 달래내로 385, 1층 (상적동)",
659,둥지,2,일반음식점,"경기 성남시 분당구 판교역로192번길14-1, 1층 일부 (삼평동,판교예미 ",
660,두향,2,일반음식점,경기 성남시 분당구 불곡남로 5 (정자동),
661,돼지맨숀,2,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 1층 144호,145호 (삼평동,판교호반써밋플레이스)",
662,돈가네옛날김치돼지찌개,2,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 201호 (삼평동,유스페이스1)",
663,독천낙지 야탑점,2,일반음식점 기타,"경기 성남시 분당구 장미로92번길 5, 1층 (야탑동)",
664,도원,2,일식/생선회집,경기 성남시 분당구 야탑동 358-2번지,
665,던킨도넛츠아름마을점,2,패스트푸드점,"경기 성남시 분당구 판교로446, 102,103호 (이매동,그린프라자) ",
666,더플레이스판교현대백화점,2,서양식,"경기 성남시 분당구 판교역로146번길20, 5층 (백현동, 현대백화점판교 ",
667,더원쭈꾸미,2,일반음식점,"경기 성남시 분당구 성남대로331번길 13, 1층117호,118호 (정자동)",
668,더쉐프인젤코바,2,일반음식점,"경기 성남시 분당구 판교로25번길 22-3, 1층 전부 (운중동)",
669,더부자꼬리,2,일반음식점,"경기 성남시 분당구 판교역로2번길 3, 1층 (백현동)",
670,더밸류펍,2,일반주점,"경기 성남시 분당구 대왕판교로670, 3층 316호 (삼평동,유스페이스2) ",
671,대하,2,일식전문점,"경기 성남시 중원구 광명로289, 1층 (금광동,단대쇼핑센타) ",
672,대가면옥,2,일반음식점,"경기 성남시 분당구 야탑로 64,1층 일부(야탑동,야탑시장)",
673,능이향기,2,일반음식점,"경기 성남시 분당구 하오개로 353, 1층,2층 (운중동)",
674,놈놈서브,2,일반음식점,"경기 성남시 분당구 판교역로 231, 1층 117호 (삼평동,에이치스퀘어 에스동)",
675,남기분면주식회사테이블메트리,2,일반음식점기타,"경기 성남시 분당구 판교역로 152-0,2층 10호 (백현동) ",
676,까로떼(Carote),2,서양식전문점,"경기 성남시 분당구 동판교로52번길 19-20, 1층 일부 (백현동)",
677,금향,2,중식전문점,"경기 성남시 분당구 금곡로11번길 1, 1층 (구미동)",
678,금돈가,2,일반음식점,"경기 성남시 분당구 운중로225번길 48-17, 101호 (판교동)",
679,궁중만두,2,일반음식점,"경기 성남시 분당구 판교역로 230, SD-3 B동 B109호 (삼평동,판교테크노밸리)",
680,궁잔기지떡,2,일반음식점,"경기 성남시 분당구 내정로7번길14, 1층 일부 (정자동) ",
681,굴마을 낙지촌,2,일반음식점,경기 성남시 수정구 수정로74번길 6 (수진동),
682,광화문국밥판교점(주)다얼팜,2,일반음식점,"경기 성남시 분당구 판교역로152, 2(일부)층 (백현동) ",
683,고반식당판교아브뉴프랑점,2,한식,"경기 성남시 분당구 동판교로177번길 25-0,2층205호,206호,207호 (삼평 ",
684,고릴라펍앤볼링,2,일반주점,경기 성남시 분당구 삼평동670 유스페이스1 지하1층 B101호 ,
685,강릉집,2,한식,"경기 성남시 분당구 장미로92번길 13-3, (야탑동)",
686,가장맛있는족발 정자점1,2,한식,"경기 성남시 분당구 성남대로331번길 9-14, 1층 (정자동,모선빌딩)",
687,가야지원조양평해장국본점,2,한식,"경기 성남시 분당구 대왕판교로 23, 1층 (동원동)",
688,가마로강정(야탑점),2,치킨전문점,"경기 성남시 분당구 성남대로926,1층119호(야탑동,분당메트로) ",
689,Tu e Io(뚜에이오),2,양식,경기 성남시 분당구 판교동 운중로225번길 14-1,
690,KFC야탑역,2,패스트푸드점,"경기 성남시 분당구 성남대로916번길7,(야탑동,서일빌딩1층101A호,101B ",
691,2도비어 판교역점,2,일반주점,"경기 성남시 분당구 판교역로192번길 16, 110호 (삼평동,판교타워)",
692,(주)후니드 SKT카페분당2점,2,기타음식점,"경기 성남시 분당구 황새울로258번길 6, 1층 일부 (수내동,수내동에스케이텔레콤분당지원시설)",
