,상호,계,업종,주소,거리
100,쿠벤판교,34,일식/생선회집,"경기 성남시 분당구 판교역로 240, A동 B112호 (삼평동,삼환하이펙스)",
101,브라운홀릭판교점,34,일반음식점,"경기 성남시 분당구 판교로319번길 13, 1층 109,110호 (삼평동)",
102,(주)더비츠비츠분당정자점,34,기타식음료품,"경기 성남시 분당구 정자일로 220, 상가동 108호 (정자동,동양정자파라곤제2단지)",
103,황제갈비,33,일반음식점,"경기 성남시 분당구 대왕판교로 670 (삼평동,유스페이스2, 1층 104호,105호)",
104,엠비즈(주)네코부루본점,33,일식전문점,"경기 성남시 분당구 판교로319번길 13, 1층 112호 (삼평동,디테라스)",
105,빈티지1988,33,서양식전문점,"경기 성남시 분당구 판교역로 231 (삼평동,,에이치스퀘어에스동1층101호)",
106,김영희동태찜코다리냉면,33,일반음식점,"경기 성남시 분당구 판교역로241번길 22, 1층 115,116,117호 (삼평동)",
107,흑돈가,32,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1동 3층 307호 (삼평동,유스페이스)",
108,주식회사 놀멍쉬멍,32,일반음식점,"경기 성남시 분당구 대왕판교로 660, B동 501호 (삼평동,유스페이스1)",
109,마노핀태평사거리점,32,일반음식점,"경기 성남시 수정구 수정로74번길 2, 1층 (수진동)",
110,포베이동판교밸리점,31,일반음식점,"경기 성남시 분당구 판교역로 240, 삼환하이펙스A동 지하1층B-107호 (삼평동)",
111,본가판교점,31,일반음식점,"경기 성남시 분당구 판교역로 231, 에스동202호, 203호, 204호, 205호 (삼평동)",
112,경복궁판교점(주)덕용푸드시,31,일반음식점,"경기 성남시 분당구 대왕판교로606번길 58, (판교푸르지오월드마크2층2-11~16호,2-41호) (삼평동)",
113,브랜든돈까스,30,서양식,"경기 성남시 분당구 판교역로 240, A동 B113호 (삼평동, 삼환하이펙스A동)",
114,바르다김선생분당정자신기점,30,일반음식점,"경기 성남시 분당구 내정로 29,1층102호(정자동,금곡프라자)",
115,홍루원,29,일반음식점,"경기 성남시 수정구 대왕판교로 812, 지하1층 (시흥동)",
116,닻,29,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 209-4호 (삼평동,유스페이스1)",
117,양바위,28,일반음식점,"경기 성남시 분당구 판교역로 240,(삼환하이펙스A동1층127호)(삼평동)",
118,마부마라탕,28,중식전문점,"경기 성남시 분당구 대왕판교로 670, 214호 (삼평동,유스페이스2)",
119,찌개애감동,27,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 214호 (삼평동,유스페이스1)",
120,울프스덴(WOLFS DEN),27,서양식전문점,"경기 성남시 분당구 대왕판교로 660, 2층 215호 (삼평동,유스페이스)",
121,던킨도너츠성남이마트,27,패스트푸드점,"경기 성남시 수정구 수정로 201, 1층 (태평동,신세계쉐덴)",
122,주식회사평가옥푸드시스템판교점,26,한식,"경기 성남시 분당구 대왕판교로 660, 1층 102호 (삼평동,유스페이스1)",
123,일류,26,일식전문점,"경기 성남시 분당구 대왕판교로 670, 2층 210호 (삼평동,유스페이스2)",
124,쌀어묵공방,26,휴게음식점,"경기 성남시 분당구 성남대로 381, 113호 (정자동,폴라리스빌딩)",
125,부릿팝 (burit pop),26,일반음식점 기타,"경기 성남시 분당구 대왕판교로 670, 2층 218호 (삼평동,유스페이스2)",
126,369부대찌개&삼겹살,26,일반음식점,"경기 성남시 분당구 판교역로 230 (삼평동,삼환하이펙스B동2층204호,205호)",
127,엠에스생감자치킨,25,일반주점,"경기 성남시 분당구 대왕판교로 670, 111호 (삼평동)",
128,본스치킨판교테크노점,25,치킨전문점,"경기 성남시 분당구 대왕판교로 670, 2동1층114호,115호 (삼평동,유스페이스)",
129,나비스시,25,일식전문점,"경기 성남시 분당구 돌마로 68, 1층 121호 (구미동,분당프라자)",
130,(주)삼원가든투뿔등심아브뉴프랑,25,일반음식점,"경기 성남시 분당구 동판교로177번길 25, 1층 129,130,131호 (삼평동,판교호반써밋플레이스)",
131,하남돼지집,24,한식,"경기 성남시 분당구 대왕판교로 660, 118호 (삼평동,유스페이스)",
132,판교점육전면사무소,24,일반음식점,"경기 성남시 분당구 대왕판교로 660, 2층 237호 (삼평동,유스페이스1)",
133,판교바다,24,일반음식점,"경기 성남시 분당구 대왕판교로 660,유스페이스1층.2층239호(삼평동)",
134,용범이네인계동껍데기테크노벨리점,24,일반음식점,"경기 성남시 분당구 대왕판교로 660, 1층 140호 141호 (삼평동,유스페이스l)",
135,빨라쪼델프레도,24,아이스크림전문점,"경기 성남시 분당구 구미로173번길 82, 서울대학병원 본관동 B1일부 (구미동)",
136,만강,24,한식,"경기 성남시 분당구 장미로92번길 7-5, (야탑동)",
137,Osalad(오샐러드)(주)포,24,일반음식점,"경기 성남시 분당구 판교역로 230, B동 117호 (삼평동)",
138,주식회사육의진가,23,한식,"경기 성남시 분당구 대왕판교로 670, (삼평동,유스페이스2지하1층비101호)",
